,Date,Season,home,visitor,FT,hgoal,vgoal,hconf,vconf,totgoal,round,leg,hgoalaet,vgoalaet,hpen,vpen
2721,2010-04-17,2010,Houston Dynamo,CD Chivas USA,3-0,3,0,West,West,3,regular,,,,,
2722,2010-04-17,2010,DC United,Chicago Fire,0-2,0,2,East,East,2,regular,,,,,
2723,2010-04-17,2010,New York Red Bulls,FC Dallas,2-1,2,1,East,West,3,regular,,,,,
2724,2010-04-18,2010,San Jose Earthquakes,New England Revolution,2-0,2,0,West,East,2,regular,,,,,
2725,2010-04-18,2010,LA Galaxy,Real Salt Lake,2-1,2,1,West,West,3,regular,,,,,
2726,2010-04-18,2010,Colorado Rapids,Toronto FC,3-1,3,1,West,East,4,regular,,,,,
2727,2010-04-22,2010,FC Dallas,Seattle Sounders,2-2,2,2,West,West,4,regular,,,,,
2728,2010-04-24,2010,New York Red Bulls,Philadelphia Union,2-1,2,1,East,East,3,regular,,,,,
2729,2010-04-24,2010,Columbus Crew,Real Salt Lake,1-0,1,0,East,West,1,regular,,,,,
2730,2010-04-24,2010,New England Revolution,Colorado Rapids,1-2,1,2,East,West,3,regular,,,,,
2731,2010-04-24,2010,Chicago Fire,Houston Dynamo,2-0,2,0,East,West,2,regular,,,,,
2732,2010-04-24,2010,Sporting Kansas City,LA Galaxy,0-0,0,0,East,West,0,regular,,,,,
2733,2010-04-25,2010,CD Chivas USA,San Jose Earthquakes,3-2,3,2,West,West,5,regular,,,,,
2734,2010-04-25,2010,Toronto FC,Seattle Sounders,2-0,2,0,East,West,2,regular,,,,,
2735,2010-05-01,2010,DC United,New York Red Bulls,0-2,0,2,East,East,2,regular,,,,,
2736,2010-05-01,2010,New England Revolution,FC Dallas,1-1,1,1,East,West,2,regular,,,,,
2737,2010-05-01,2010,Houston Dynamo,Sporting Kansas City,3-0,3,0,West,East,3,regular,,,,,
2738,2010-05-01,2010,Chicago Fire,CD Chivas USA,1-1,1,1,East,West,2,regular,,,,,
2739,2010-05-01,2010,Real Salt Lake,Toronto FC,2-1,2,1,West,East,3,regular,,,,,
2740,2010-05-02,2010,San Jose Earthquakes,Colorado Rapids,1-0,1,0,West,West,1,regular,,,,,
2741,2010-05-02,2010,LA Galaxy,Philadelphia Union,3-1,3,1,West,East,4,regular,,,,,
2742,2010-05-02,2010,Seattle Sounders,Columbus Crew,1-1,1,1,West,East,2,regular,,,,,
2743,2010-05-05,2010,DC United,Sporting Kansas City,2-1,2,1,East,East,3,regular,,,,,
2744,2010-05-05,2010,New England Revolution,CD Chivas USA,0-4,0,4,East,West,4,regular,,,,,
2745,2010-05-05,2010,Houston Dynamo,FC Dallas,0-1,0,1,West,West,1,regular,,,,,
2746,2010-05-05,2010,Colorado Rapids,LA Galaxy,0-1,0,1,West,West,1,regular,,,,,
2747,2010-05-08,2010,Seattle Sounders,LA Galaxy,0-4,0,4,West,West,4,regular,,,,,
2748,2010-05-08,2010,Toronto FC,Chicago Fire,4-1,4,1,East,East,5,regular,,,,,
2749,2010-05-08,2010,Real Salt Lake,Philadelphia Union,3-0,3,0,West,East,3,regular,,,,,
2750,2010-05-08,2010,Columbus Crew,New England Revolution,3-2,3,2,East,East,5,regular,,,,,
2751,2010-05-08,2010,FC Dallas,DC United,1-0,1,0,West,East,1,regular,,,,,
2752,2010-05-09,2010,San Jose Earthquakes,New York Red Bulls,4-0,4,0,West,East,4,regular,,,,,
2753,2010-05-09,2010,CD Chivas USA,Houston Dynamo,0-2,0,2,West,West,2,regular,,,,,
2754,2010-05-13,2010,Real Salt Lake,Houston Dynamo,3-1,3,1,West,West,4,regular,,,,,
2755,2010-05-15,2010,Philadelphia Union,FC Dallas,1-1,1,1,East,West,2,regular,,,,,
2756,2010-05-15,2010,New England Revolution,San Jose Earthquakes,0-0,0,0,East,West,0,regular,,,,,
2757,2010-05-15,2010,Columbus Crew,CD Chivas USA,1-0,1,0,East,West,1,regular,,,,,
2758,2010-05-15,2010,DC United,Colorado Rapids,0-1,0,1,East,West,1,regular,,,,,
2759,2010-05-15,2010,New York Red Bulls,Seattle Sounders,0-1,0,1,East,West,1,regular,,,,,
2760,2010-05-15,2010,Sporting Kansas City,Chicago Fire,2-2,2,2,East,East,4,regular,,,,,
2761,2010-05-16,2010,LA Galaxy,Toronto FC,0-0,0,0,West,East,0,regular,,,,,
2762,2010-05-20,2010,New York Red Bulls,Columbus Crew,1-3,1,3,East,East,4,regular,,,,,
2763,2010-05-20,2010,FC Dallas,LA Galaxy,0-1,0,1,West,West,1,regular,,,,,
